Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Afghanistan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2014. Latest actual data is for the solar year 2013/14 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan Afghani Data last updated: 03/2017",467.035,476.376,490.667,507.84,528.154,551.921,579.517,611.39,2014
Afghanistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.758,2,3,3.5,4,4.5,5,5.5,2014
Afghanistan,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2014. Latest actual data is for the solar year 2013/14 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan Afghani Data last updated: 03/2017","1,203.67","1,281.66","1,399.43","1,535.31","1,692.57","1,874.47","2,085.38","2,330.54",2014
Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.687,18.886,20.57,21.706,23.233,24.93,26.857,29.113,2014
Afghanistan,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",257.726,269.044,285.209,302.321,320.469,339.627,359.848,381.188,2014
Afghanistan,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","14,591.65","14,262.74","13,333.34","13,775.05","14,300.19","14,916.78","15,447.93","16,077.20",2013
Afghanistan,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","37,606.49","38,373.03","38,027.88","41,644.85","45,827.64","50,661.36","55,589.01","61,284.31",2013
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",615.091,565.438,558.968,588.776,629.054,673.78,715.908,765.565,2013
Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,"See notes for:  Gross domestic product, current prices (National currency).",62.009,64.081,67.462,71.386,75.87,80.883,86.647,93.315,2014
